nome,email,password,administrador
Teste01,teste01,teste01,true
Teste02,teste02,teste02,false
Teste03,teste03,teste03,true
Teste04,teste04,teste04,false
Teste05,teste05,teste05,true
Teste06,teste06,teste06,false
Teste07,teste07,teste07,true
Teste08,teste08,teste08,false
Teste09,teste09,teste09,true
Teste10,teste10,teste10,false
Teste11,teste11,teste11,true
Teste12,teste12,teste12,false
Teste13,teste13,teste13,true
Teste14,teste14,teste14,false
Teste15,teste15,teste15,true
Teste16,teste16,teste16,false
Teste17,teste17,teste17,true
Teste18,teste18,teste18,false
Teste19,teste19,teste19,true
Teste20,teste20,teste20,false
Teste21,teste21,teste21,true
Teste22,teste22,teste22,false
Teste23,teste23,teste23,true
Teste24,teste24,teste24,false
Teste25,teste25,teste25,true
Teste26,teste26,teste26,false
Teste27,teste27,teste27,true
Teste28,teste28,teste28,false
Teste29,teste29,teste29,true
Teste30,teste30,teste30,false
Teste31,teste31,teste31,true
Teste32,teste32,teste32,false
Teste33,teste33,teste33,true
Teste34,teste34,teste34,false
Teste35,teste35,teste35,true
Teste36,teste36,teste36,false
Teste37,teste37,teste37,true
Teste38,teste38,teste38,false
Teste39,teste39,teste39,true
Teste40,teste40,teste40,false
Teste41,teste41,teste41,true
Teste42,teste42,teste42,false
Teste43,teste43,teste43,true
Teste44,teste44,teste44,false
Teste45,teste45,teste45,true
Teste46,teste46,teste46,false
Teste47,teste47,teste47,true
Teste48,teste48,teste48,false
Teste49,teste49,teste49,true
Teste50,teste50,teste50,false
Teste51,teste51,teste51,true
Teste52,teste52,teste52,false
Teste53,teste53,teste53,true
Teste54,teste54,teste54,false
Teste55,teste55,teste55,true
Teste56,teste56,teste56,false
Teste57,teste57,teste57,true
Teste58,teste58,teste58,false
Teste59,teste59,teste59,true
Teste60,teste60,teste60,false
Teste61,teste61,teste61,true
Teste62,teste62,teste62,false
Teste63,teste63,teste63,true
Teste64,teste64,teste64,false
Teste65,teste65,teste65,true
Teste66,teste66,teste66,false
Teste67,teste67,teste67,true
Teste68,teste68,teste68,false
Teste69,teste69,teste69,true
Teste70,teste70,teste70,false
Teste71,teste71,teste71,true
Teste72,teste72,teste72,false
Teste73,teste73,teste73,true
Teste74,teste74,teste74,false
Teste75,teste75,teste75,true
Teste76,teste76,teste76,false
Teste77,teste77,teste77,true
Teste78,teste78,teste78,false
Teste79,teste79,teste79,true
Teste80,teste80,teste80,false
Teste81,teste81,teste81,true
Teste82,teste82,teste82,false
Teste83,teste83,teste83,true
Teste84,teste84,teste84,false
Teste85,teste85,teste85,true
Teste86,teste86,teste86,false
Teste87,teste87,teste87,true
Teste88,teste88,teste88,false
Teste89,teste89,teste89,true
Teste90,teste90,teste90,false
Teste91,teste91,teste91,true
Teste92,teste92,teste92,false
Teste93,teste93,teste93,true
Teste94,teste94,teste94,false
Teste95,teste95,teste95,true
Teste96,teste96,teste96,false
Teste97,teste97,teste97,true
Teste98,teste98,teste98,false
Teste99,teste99,teste99,true
